,dft,c,bv,ang
ig_242.vasp,-4642.58950547,328,0.64856,34
ig_243.vasp,-4642.58188401,336,0.65196,31
ig_244.vasp,-4642.66805157,316,0.55282,30
ig_245.vasp,-4642.64382798,320,0.61182,30
ig_246.vasp,-4642.6672455,316,0.5343,30
ig_247.vasp,-4642.58770331,332,0.62241,32
ig_248.vasp,-4642.55840681,336,0.64624,34
ig_249.vasp,-4642.61402533,320,0.61864,32
ig_250.vasp,-4642.54725885,340,0.67073,36
ig_251.vasp,-4642.61204181,328,0.59051,32
ig_252.vasp,-4642.64811708,320,0.59906,30
ig_253.vasp,-4642.6393507,328,0.58226,28
ig_254.vasp,-4642.62101113,332,0.60455,30
ig_255.vasp,-4642.59116802,328,0.61678,34
ig_256.vasp,-4642.60950467,328,0.62822,32
ig_257.vasp,-4642.65471527,324,0.57589,30
ig_258.vasp,-4642.66683994,324,0.58809,28
ig_301.vasp,-4642.56183428,324,0.65337,36
ig_302.vasp,-4642.56507927,336,0.64113,34
ig_303.vasp,-4642.66002056,320,0.56222,30
ig_304.vasp,-4642.60312419,324,0.62557,34
ig_305.vasp,-4642.63290063,320,0.60049,32
ig_306.vasp,-4642.59659865,336,0.63903,34
ig_307.vasp,-4642.54417869,324,0.61632,38
ig_308.vasp,-4642.63862819,324,0.58752,30
ig_309.vasp,-4642.54279631,348,0.66109,34
ig_310.vasp,-4642.62186572,328,0.61876,32
ig_311.vasp,-4642.61234907,328,0.63754,30
ig_312.vasp,-4642.60206878,324,0.60629,34
ig_313.vasp,-4642.61041784,332,0.62576,32
ig_314.vasp,-4642.61559943,328,0.63145,32
ig_315.vasp,-4642.58421722,332,0.62261,34
ig_316.vasp,-4642.63716477,320,0.57892,34
ig_317.vasp,-4642.61937656,332,0.62389,30
ig_318.vasp,-4642.58078277,336,0.66323,29
ig_319.vasp,-4642.64470749,328,0.60339,30
ig_320.vasp,-4642.60110807,328,0.62187,32
ig_321.vasp,-4642.61344513,320,0.60702,32
ig_322.vasp,-4642.66726457,320,0.56861,30
ig_323.vasp,-4642.60007386,336,0.61007,30
ig_324.vasp,-4642.63292179,328,0.59929,30
ig_325.vasp,-4642.5904454,332,0.62096,34
ig_326.vasp,-4642.56070128,340,0.6735,34
ig_327.vasp,-4642.59330012,340,0.6269,30
ig_328.vasp,-4642.60517709,328,0.60182,32
ig_329.vasp,-4642.62540559,320,0.59483,32
ig_330.vasp,-4642.6340173,328,0.61074,30
ig_331.vasp,-4642.61203255,328,0.63403,31
ig_332.vasp,-4642.58644913,336,0.62691,32
ig_333.vasp,-4642.60350664,320,0.60087,32
ig_334.vasp,-4642.55141185,340,0.64104,36
ig_335.vasp,-4642.56070127,340,0.6735,34
ig_336.vasp,-4642.65608636,320,0.57285,30
ig_337.vasp,-4642.64764988,320,0.59402,28
ig_338.vasp,-4642.59153273,328,0.619,34
ig_339.vasp,-4642.69297453,320,0.57842,28
ig_340.vasp,-4642.63834838,320,0.57864,32
ig_341.vasp,-4642.64006739,320,0.58497,30
ig_342.vasp,-4642.67406877,320,0.55273,26
ig_343.vasp,-4642.6591883,316,0.54228,32
ig_344.vasp,-4642.63901921,320,0.58655,32
ig_345.vasp,-4642.54961491,348,0.68438,32
ig_346.vasp,-4642.52926333,344,0.68157,36
ig_347.vasp,-4642.58705668,332,0.63451,33
ig_348.vasp,-4642.62380505,328,0.62169,30
ig_349.vasp,-4642.66488853,320,0.56772,28
ig_350.vasp,-4642.59758456,324,0.58263,32
ig_351.vasp,-4642.66022138,316,0.56575,32
ig_352.vasp,-4642.66710305,320,0.57824,30
ig_353.vasp,-4642.59028057,336,0.63228,32
ig_354.vasp,-4642.67825185,312,0.53856,30
ig_355.vasp,-4642.61254679,328,0.58958,32
ig_356.vasp,-4642.62727242,332,0.61898,30
ig_357.vasp,-4642.53396449,340,0.66934,34
ig_358.vasp,-4642.61165209,324,0.60829,34
ig_359.vasp,-4642.58501862,340,0.67646,30
ig_360.vasp,-4642.6221433,316,0.56444,36
ig_361.vasp,-4642.57977595,332,0.64162,32
ig_362.vasp,-4642.61095246,328,0.63635,32
ig_363.vasp,-4642.57893293,320,0.66557,36
ig_364.vasp,-4642.62218191,324,0.62456,31
ig_365.vasp,-4642.6704708,316,0.56318,30
ig_366.vasp,-4642.62450922,328,0.60039,32
ig_367.vasp,-4642.55760724,344,0.66366,34
ig_368.vasp,-4642.6651685,320,0.53713,26
ig_369.vasp,-4642.5888449,336,0.61352,32
ig_370.vasp,-4642.57464193,340,0.61897,32
ig_371.vasp,-4642.576846,320,0.64858,36
ig_372.vasp,-4642.61275434,332,0.6284,32
ig_373.vasp,-4642.6340173,328,0.61074,30
ig_374.vasp,-4642.56123444,332,0.65244,32
ig_375.vasp,-4642.62456775,324,0.61727,32
ig_376.vasp,-4642.52860109,356,0.66679,34
ig_377.vasp,-4642.58384423,332,0.63461,34
ig_378.vasp,-4642.60288229,332,0.58809,34
ig_379.vasp,-4642.67154548,320,0.58554,28
ig_380.vasp,-4642.57213056,344,0.64864,32
ig_381.vasp,-4642.66989591,320,0.58259,28
ig_382.vasp,-4642.62450925,328,0.60039,32
ig_383.vasp,-4642.59375352,332,0.61461,32
ig_384.vasp,-4642.6026357,336,0.62108,30
ig_385.vasp,-4642.58541283,336,0.63112,32
